,company_name,address,telephone,fax,email,website,contact_person
10,"ALISPED (THAILAND) CO.,LTD.","B-SQUARE RAMA IX-MENGJAI,600/18 RAMKHAMHAENG 39 WANGTHONGLANG, WANGTHONG,BANGKOK 10310",662 196 1901-04 ,662 196 1905 ,account@alisped.co.th,http://www.alisped.co.th,MS. SONGSAENG  KHANNAK 
11,"ALL-WAYS LOGISTICS CO., LTD.","99/390 BAAN KLANG MUANG SATHORN-TAKSIN2,
(SOI 23), SOI SUANLUANG, KALLAPRAPRUK ROAD, BANGKHO,
JOMTHONG, BANGKOK 10150",(66-2) 490-3555  ,(66-2) 490-3525 ,info@allwayslogistics.com,http://www.allwayslogistics.com/,MR.NONNARIT ATHIPATPONGSAKORN 
12,"ALPHA NETWORK LOGISTICS CO.,LTD.","191/1 HUNG SENG HUAT BLDG.,8TH FL.,
RAMA 3 RD., BANGKORLAEM DISTRICT,BANGKOK 10120.",662-689-1689 ,662-689-1166-7 ,weena@alphanetwork.co.th,,MR. SUCHIN JAMORNLUCK 
13,"ALPINE LOGITICS CO.,LTD.","42, Connect Tower, 5th Floor, Room 5B, Narathiwat-Ratchanakarin 10, Thungwatdon, Sathorn, Bangkok 10120 Thailand",662-286-8004 ,662-286-8084 ,nathee@alpine.co.th,http://www.alpine.co.th,MR. KOMSUN HIRUNYASAKORN 
14,"ALPS LOGISTICS (THAILAND) CO., LTD.","191/74 CTI TOWER, 12A FLOOR, RATCHADAPISEK ROAD, KLONG TOEY, BANGKOK 10110",66-2661-8085-87 ,66-2661-8088 ,thanakrit.13.chitupha@alps-logistics.co.th,,MR. THANAKRIT 
15,"AMAZING LOGISTICS AND SUPPLY CHAIN CO.,LTD.","2922/204 Charn Issara Tower 2, 11th floor, New Petchburi Road, Bangkapi, Huaykhwang, Bangkok 10310",02-034-3789 ,02-034-3777 ,infm@amazing-lsc.com,http://www.amazing-lsc.com,MS. PIMPAPHAT RAKTHAMYING 
16,APT SHOWFREIGHT (THAILAND) LIMITED,"98/7-8, YANNAWA ROAD., CHONGNONSEE, YANNAWA, BANGKOK 10120",02-165-6158 ,02-165-6160 ,"jariya@aptshowfreight.com, taneeya@aptshowfreight.",http://www.aptshowfreightlogistics.com,MS. JARIYA WONGSKULPIN 
17,"ASL LOGISTICS CO.,LTD.","26/55 Nanglinchi Road, Thungmahamek Sathorn, Bangkok 10120",02-286-5566 ,02-286-5566 ,chakree@asl.co.th,http://www.asl.co.th,MR. CHAKREE CHAIWATTAKUL 
18,"ATLANTIC FORWARDING CO., LTD.","1447 TOWN IN TOWN SOI 3/3, SRIWARA ROAD, PLABPLA, WANGTHONGLANG, BANGKOK 10310",662-530-9327 ,662-530-9411 ,"atlantic@atlantic.co.th,ladda@atlantic.co.th",http://www.atlantic.co.th,MS. LADDA SRIDAENG 
19,"AWARDS FREIGHT SERVICES (THAILAND) CO.,LTD.","23/75,76 SORACHAI BLDG., 
20TH FL., SUKHUMVIT 63 ,SUKHUMVIT RD, KLONGTON-NUA, WATTANA, BANGKOK 10110",662-714-3000 (AUTO) ,662-714-3277 - 78 ,thitaporn@awards.co.th,http://www.awards.com.hk,MS.THITAPORN PHARAKSA 
20,"AWOT GLOBAL LOGISTICS (THAILAND) CO.,LTD.",,662-171-7692-95 ,662-171-7696 ,eing_suchada@awotglobal.com,,MS.SUCHADA BOONSONGTANARAK 
21,"BANGKOK FREIGHT FORWARDERS CO., LTD.","68/83-84 Moo 5, Rachathewa, Bangphli,
Samutprakarn 10540","662-738-8630, 8755 (auto 16 lines) ",662-738-8759-62 ,artorns@bafcothai.com / seafreight@bafcothai.com,http://www.bafcothai.com,MS.PENRUNG SOMBOONSIN 
22,BDP ASIA-PACIFIC LTD.,"75 White Group Building I, 3rd Floor, Soi Rubia, Sukhumvit 42 Road, Prakanong, Klongtoey, Bangkok 10110",662-105-4629 ,662-381-1044-5 ,kamonrat.s@bdpint.com,http://www.bdpinternational.com,MS.KAMONRAT SRIRUYA 
23,"BEE LOGISTICS (THAILAND) CO.,LTD.","2/22 IYARA TOWER,6TH ROOM NO.601,CHAN ROAD,THUNGWATDON,SATHORN, BANGKOK 10120",662-2862700 (Auto) ,662-286-7553 ,acc1.th@beelogistics.com,http://www.beelogistics.com,Mr. Nipon Tiyathanakul 
24,BEGISTICS PUBLIC COMPANY LIMITED,"3656/64 Geen Tower Building, 19th Floor, Unit K,Rama 4 Rd., Klongton, Klongtoey, Bangkok 10110",662-367-3570-6 ,662-367-3577 ,uratchat.su@begistics.co.th,,MRS. URATCHAT SUBHAVAN 
25,"BEST BONDED WAREHOUSE CO., LTD.","3/2 KING KAEW, BANGPLEE,
SAMUTHPRAKARN 10540.",662-750-1531-5 ,662-750-1530 ,mkt@bestbonded.com,http://www.bestbonded.com,MR. MONTRI KAMPRASERT 
26,"BETTER FREIGHT & TRANSPORT CO., LTD.","116/89 SSP TOWER 2 ,23rd FL., 
NA RANONG RD., KLONGTOEY , 
BANGKOK 10110",662-672-9982 ,662-672-9710 ,songpol@better-freight.co.th,,MR.SONGPOL DULLAYAPOL 
27,"BIZCON LOGISTICS CO.,LTD.","1400 1st Floor Thai Building, Klongtoey, Klongtoey, Bangkok 10110 ",02-249 4621 ,02-249 4222 ,info@bizconlogistics.com,http://www.bizconlogistics.com, 
28,"BOLLORE LOGISTICS (THAILAND) CO.,LTD.","75/71 RICHMOND BUILDING 19FL., SUKHUMVIT SOI 26, SUKHUMVIT RD., KLONGTON, KLONGTOEY, BANGKOK  10110",662-261-1920-30 ,662-261-8335-6 ,pornwarin.thongin@bollore.com,http://www.bollore.com,MS. PORNWARIN THONGIN 
29,"BOONMA MOVING & STORAGE CO., LTD.","1958 RAMKHAMHAENG  ( HUAMARK ) , BANGKAPI, BANGKOK 10240.",662-314-2980-1 ,662-18-2447 ,chaivudhi@boonma.com,,MR.CHAIVUDHI PUNGTONG 
30,"BUDGET LOGISTICS SERVICES CO.,LTD.","89/46 Moo.15 Enterprize park, Bangna-Trad Rd, Bangkaew, Bangplee, Samutprakarn 10540",02-170-8720-2 ,02-170-8723 ,account@budgetlogistics-th.com,,MS. DAORUDEE  THONGNIL 
31,"C.T.A. CO.,LTD.","14/15-17 SOI RIM KLONG PHAI SINGTO, RAMA IV RD.,
KLONGTOEY, KLONGTOEY, BANGKOK 10110.",662-258-1129 (24LINES) ,662-259-3817-18 ,service@cta.co.th,http://www.cta.co.th,MR.CHAIWAT SIVASIRKARUL 
32,"CARGO CLASS CO.,LTD.","271 MOO BAAN PAKDEE, RAMA 3 ROAD,
BANGKORLAEM, BANGKORLAEM,
BANGKOK 10120",662-226-4291-96 ,662-224-9034-5 ,"kung@cargo-class.com, ying@cargo-class.com",http://www.cargo-class.com,MR.PAWEENA THANOMPAKORN 
33,"CARGO PACIFIC OVERSEA CO., LTD.","81/1 Soi Sukumvit 46, Sukumvit Road, Prakanong, Klongtoey, Bangkok 10110",662-7120967 ,662-3922519 ,pichai@cpo2000.com,,MR. PICHAI PIYASOMBOON 
34,"CARGO SERVE CO.,LTD.","350/46 SOI RAMA 3 SOI 71, RAMA 3 RD., CHONGNONSEE, YANANAWA, BANGKOK, 10120",02-285-3340 ,02-288-3341 ,ladda@cgoserve.com,http://www.cgoserve.com,MS. LADDA CHOTICHANAWONG 
35,"CARGOHUB EXPRESS (THAILAND) CO.,LTD.  ","729/93 RATCHADAPHISEK ROAD., BANGPONGPANG, YANNAWA, BANGKOK 10120",662-683-8800 ,662-683-8008 ,suppawatt@cargohub.co.th,http://www.cargohub.co.th,MR. SUPPAWATT BAVORNVISVAYOSA 
36,"CARGONET WORLDWIDE CO., LTD.","3388/81 SIRINRAT BUILDING, 22nd FLOOR , RAMA IV RD.
KLONGTON, KLONGTOEY
BANGKOK  10110",662-367-5730-41 (AUTO) ,662-367-5743 ,sompob@cargonetthai.com,,MR.SOMPOB PONGPITAKKIJ 
37,CARGOWEB WORLDWIDE LTD.,"3656/26  9TH FLOOR ,GREEN TOWER,RAMA 4  ROAD, KLONGTON,KLONGTOEY,BANGKOK 10110",662-367-3319 ,662-367-3316 ,lersak@cargoweb.co.th,http://www.cargoweb.co.th,MR.LERSAK TECHASETH 
38,CENTRAN INTERNATIONAL CORPORATION (THAILAND) LTD.,"3388/90, 91 SIRINRAT BUILDING, 25th FLOOR , RAMA 4 RD., KLONGTON,
KLONGTOEY, BANGKOK 10110",662-367-5935-42 ,662-367-5090-1 ,"export@cic.co.th,cic@cic.co.th",http://www.cic.co.th,MS. MARIYA MATAKITTINUN 
39,"CHUMPHOL INTERNATIONAL MARKETTING CO.,LTD.","373,375 Ramintra Rd, Anusawaree Sub-District, Bangkhen District, Bangkok 10220",02-973-0100 ,02-973-0131 ,chumphol@chumphol.com,,MS. SOMRUTHAI SEDKHONTOD 
40,"CJ LOGISTICS (THAILAND) CO., LTD.","598 Q House Pleonchit Building, 16th Fl., Pleonchit rd., Lumphinee, Pathumwan, Bangkok 10330",02-627 3925 ,02-627 3923-4 ,"jakrin@cj.net, chan0804@cj.net, jjsam@cj.net",http://www.cjkoreaexpress.co.kr,Ms.Premrudee Tonsirilum 
41,"CLASQUIN (THAILAND) CO., LTD.","163 OCEAN INSURANCE BUILDING,14th FLOOR UNIT F-G, 
SURAWONGSE ROAD, SURIYAWONGSE,
BANGRAK, BANGKOK 10500.",662-634-2360-3 ,662-634-2370 ,sirida.c@clasquin.com,http://www.clasquin.com,MS. SIRIDA CHAMNIPRAKON 
42,COLGATE-PALMOLIVE (THAILAND) LTD.,"19 OFF NA-RANONG RD., SUNTHORNKOSA ROAD, KLONGTOEY, BANGKOK 10110",02-229-8000#4235 ,02-240-3516 ,"kitisak_s@colpal.com, maneephan_s@colpal.com",,"MR.KITISAK SANGKAEO, MS.MANEEPHAN SAKTEERA,MS.DARA "
43,"COMMERCIAL CARGO SERVICES CO.,LTD.","3763/5-6 RAMA 4 RD., PRAKANONG,
KLONGTOEY, BANGKOK 10110","662-381-4467-71, 662-381-4473-75 ","662-381-4482, 662-391-2038 ",ccsco@anet.net.th,,MR.CHARNCHAI HENG 
44,COMPREHENSIVE CARGO MANAGEMENT LTD.,"617/1-2 SOI SAWASDEE 4,(SUKHUMVIT 50) 
SUKHUMVIT ROAD, PRAKHANONG,
KLONGTOEY, BANGKOK 10260.",662-333-0362-78 ,662-333-0380 ,"ccm@ccmgroups.com,duangta@ccmgroups.com,panjai@@cc",http://www.ccmgroups.com,MS.DUANGTA KIJSAKA 
45,"CONAIR INTERTRAFFIC CO., LTD.","3-3/1 Nonsee Road, Chongnonsee, Yannawa, Bangkok 10120. Thailand.",+66-2-295-0444 ,+66-2-295-2604-5 ,conair@conair.co.th,http://www.conair.co.th,Mr. Pongsak Limchaikul 
46,"CONSOL LINK CO.,LTD.","1 Handle Inter Group Building, Bangna-Trad Soi 21 (Yaek 11), Bangna-Trad Road, Bangna, Bangkok 10260",662-393-6800 (auto lines) ,662-393-8485-8 ,krisana@handleintertrans.com,, 
47,"CONVERGENT INTERFREIGHT CO., LTD.","324/29, 1st Bangnaresident BLDG., Sanpawud., Bangna, Bangkok 10260",02-744-7414 ,02-744-7415 ,admin@convergent-interfreight.com,http://www.convergent-interfreight.com,MS. SUPPATTIDA CHUECHAROEN  
48,"CPO EXPRESS CO.,LTD.","81/1,Soi Sukhumvit 46, Sukhumvit Road, Prakanong, Klongtoey, Bangkok 10110 Thailand",662-712-1775(Auto) ,662-7121696 ,Roger@cebkk.com,http://www.cebkk.com,Mr.Olarat / Mr.Rungroj /Mr.Satachan 
49,"CROSS+WORLD INTERNATIONAL CO., LTD.","896/23-24 SV City Office Tower 1, 15/F. Rama 3 Rd., Bangpongpang, Yannawa, Bangkok 10120 THAILAND",662-682-8000 ,"662-682-9200, 7887 ","cs@cwi.co.th , siri@cwi.co.th",,MR.SIRI LAOCHUWONGSE 
50,"CTI LOGISTICS CO., LTD.","CTI Tower, 31st Floor
191/2-5 Ratchadapisek Road
Klongtoey, Klongtoey
Bangkok 10110 ",662 258 0060 Hotline 1671 ,662 260 1347 ,pongpadet@ctibkk.com,http://www.ctibkk.com,Mr. Pongpadet Ongpreechakul 
51,"DART GLOBAL LOGISTICS (THAI) CO.,LTD.","55/30-31 SOI NONSI 1, NONSI ROAD, CHONGNONSI, YANNAWA, BANGKOK 10120",02-294-8300 ,02-294-8410-12 ,dgl@dartglobal-bkk.com,,MS. NONGYAO INLUANG 
52,"DEUGRO PROJECTS (THAILAND) CO., LTD.","888/144, Ploenchit Rd., Lumphini,, Pathumwan, Bangkok 10330, Thailand",662-689 6013-7 ,662-688 3184 ,kunchit.kurasiri@deugro.com,http://deugro.com,Mr.Kunchit Kurasirikul 
53,"DEXTRA INDUSTRY AND TRANSPORT CO., LTD.","247 SARASIN ROAD, 5th FLOOR, LUMPINI II BLDG.,
LUMPINI, PATHUMWAN, BANGKOK 10330","662-651-9027-36,119-4488 ",662-651-8005-6 ,transport@dextragroup.com,,MS. NATTAKUL CHIMMUANG 
54,DGM SUPPORT (THAI) LTD.,"44 SOI YAEK SOISUNTISUK, RAMA 4 ROAD, PRAKANONG, KLONGTOEY, BANGKOK 10110 THAILAND",02-712-3931-2 ,02-712-3930 ,"romsai.p@dgm.co.th,vichai.m@dgms.co.th",http://www.dgmsupport.com,MR. ROMSAI PHONTHISOONTHORN 
55,"DIMERCO EXPRESS (THAILAND) CO., LTD.","Unit 2003-3 & 2004 20th Floor, Rasa Tower 1, 555 Phaholyothin Road, Chatuchak,Chatuchak, Bangkok 10900",662-937-1979  ,662-937-1671-74  ,maew_m_puttan@dimerco.com,http://dimerco.com,MS. WIRALTHITA PUTTAN 
56,DSV AIR & SEA LTD.,"3rd, 7th Floor, Vibulthani Tower 1, 3195/8,12 Rama IV Road, Klongton, Klongtoey, Bangkok 10110",662-033-8100 ,662-033-8198-9 ,"Supanit.sansuktaweesub@th.dsv.com,Chanokpat.charuv",http://www.th.dsv.com,MRS. SUPANIT SANSUKTAWEESUB 
57,"DYNAMIC INTERTRANSPORT CO., LTD.","313 SILOM ROAD, SILOM, BANGRAK, BANGKOK  10500","662-6258000 (7523, 7519, 7612) ","662-631-0984 , 662-631-0978 ",dynamic@dynamic.co.th,http://www.dynamic.co.th,MR.TEERAPONG TANAVAROTAI  
58,"EAGLES AIR & SEA (THAILAND) CO.,LTD.","12 SOI ICD 5, CHAOKHUNTHAHARN ROAD, KHLONG SAM PRAWET, LAT KRABANG, BANGKOK 10520",662-790-4599 ,662-970-3995 ,phanumat.s@eaglesthai.comphanumat.s@eaglesthai.com,http://www.eaglesthai.com,MR. PHANUMAT SAVAT 
59,"EAGLETAINER LOGISTICS (THAILAND) CO.,LTD.","77/90-91 Sinn Sathorn Tower,22nd Floor, Krungdhonburi Road, Kwaeng Klongtonsai, Khet Klongsarn, Bangkok 10600",02-862-3092 ,02-862-3091 ,"venus.i@pds-bkk.com,aree@sgl-logistics.com",,MS. VENUS PATWIRIYAPHOKHIN 
60,"EAST-WEST LOGISTICS CO., LTD.","10/1  SOI  FARM  WATANA , 
RAMA  4 Rd. , KLONGTOEY , 
PRAKHANONG , BANGKOK  10110.",662-712-0130-302 ,662-712-0155 ,pum@ewl.co.th,http://www.ewl.co.th,"MR. TANYA TANYAPONGPANICH, MR. SOMCHAI BOONSAISU "
61,"ECU WORLDWIDE (THAILAND) CO., LTD.","628, 5th Floor, Triple I Building 
Soi Klab Chom 
Nonsee Road 
10120 Bangkok
Thailand",662-681-8555 ,662-681-8262 ,viraj@eculine.net,http://www.eculine.net,MR.VIRAJ NOBNOOMTHAM 
62,"EMBASSY FREIGHT (THAILAND) CO., LTD.","46/3 EF BUILDING, SOI SOONVIJAI 4,
NEW PETCHBURI ROAD, BANGKAPI, 
HUAYKWANG, BANGKOK 10310 THAILAND",662-718 1111 ,662-718 0930 ,suebroong@embassyfreightbkk.com,http://www.embassyfreightbkk.com,"Mr. Suebroong , Ms. Patchara "
63,"EMINENCE WORLDWIDE (THAILAND) CO.,LTD.","I.T.F.TOWER 140/63 25th FLOOR, SILOM RD.,SURIYAWONG, BANGRAK, BANGKOK 10500",02-117-2468 ,02-177-2478 ,suphansa.k@eww-group.com,,MS. SUPHANSA KHAEPROMMARACH 
64,"EMPEROR LOGISTICS PROVIDER (THAI) CO., LTD.","35/86 MOO 3, SRIRACHA TOWER 2 VILLAGE, TANONKAOKILO 31 AVENUE, SUKHUMVIT RD., SURASAK SUB-DISTRICT, SRIRACHA DISTRICT, CHONBURI 20110, THAILAND",66 (0) 33-043299 ,66 (0) 38-112219 ,thananant@emperorlogistics.com,http://www.emperorlogistics.com/,MS. THANANANT SAETANG 
65,"ENTERPRISE TRANSPORT INTERNATIONAL CO., LTD.","1000/34 P.B. TOWER 10 TH FLOOR,
SUKHUMVIT 71 RD., NORTH  KLONGTAN,
WATTANA, BANGKOK  10110.",662-381-1706 ,662-391-7852 ,apichit@enterprise.co.th,,MR.APICHIT PORNVORANANT 
66,"ERAWAN MULTIMODAL SERVICES CO., LTD.","77/38 SINN SATHORN TOWER, 12TH FLOOR, KRUNGDHORNBURI ROAD,
KLONGTONSAI, KLONGSARN, BANGKOK 10600",662-440 0510-4 ,"662-4401105,662-4401092 ","aree@ems-bkk.com,admin@ems-bkk.com",http://www.ems-bkk.com,MS. AREE LIKITSOMBOON 
67,"EUSU LOGISTICS (THAILAND) CO.,LTD.","3388/39 SIRINRAT BUILDING,
12th FLOOR, RAMA 4 ROAD,
KLONGTON, KLONGTOEY,
BANGKOK 10110 THAILAND",02-6856017-20 ,02-6856023 ,prangthip.le@eusu-logistics.com,http://www.eusu-logistics.com,MS. PRANGTHIP LEEVARAPAESERT 
68,"EXCEL TRANSPORT INTERNATIONAL CO., LTD.","65/1  SUKHUMVIT  19, SUKHUMVIT RD., KLONGTOEY-NUA, WATTANA, BANGKOK  10110.",662-254-5370-8 ,"662-254-2119, 662-643-9414-5 ",excel@exctrans.co.th,http://www.exceltransport.net,MS. DOLNAPA MUNPEAN 
69,"EXPRESS TRANSPORT SYSTEMS CO.,LTD.","1/25 SOI PHUEAK CHIT, VIPHAVADI-RANGSIT ROAD, CHATUCHAK, CHATUCHAK, BANGKOK 10900",02-511-5577 ,02-511-5654-55 ,"piamsook@etsthai.com,supaphorn@etsthai.com",http://www.etsthai.com,MS.Supaphorn Chinsatapornchok 
70,"FALCON LOGISTICS SOLUTION CO.,LTD.","24, Blessing Will Building, 5th Floor, Room 501, Srinakarin road, Nongbon, Pravet, Bangkok 10250",662-103-3286 ,662-1033235 ,songwoth_ch@falconlogistics.net,http://www.falconlogistics.net,"Mr.Wichien Rungpanya/MD,Mr.Songwoth Chintathum/GM "
71,"FAST TOTAL LOGISTICS CO., LTD.","39/35 Siri Square , Soi Charoenkrung 80, Bangkholaem, Bangkok 10120
        
        ",662-126-7888 ,662-126-7890 ,"vrt@vrtrans.com, account@vrtrans.com, admin@vrtran",http://www.vrtrans.com,MR.CHAICHANA TANGJITWILAIKUL 
72,"FATTON TRANSPORT (THAILAND) CO., LTD.","184/41, 14TH FLOOR, ROOM A, FORUM TOWER 7, RACHADAPHISEK ROAD, HUAYKWANG, BANGKOK 10310",(66) 2 645 3921 ,(66) 2 645 3923 ,"cs@fattonthailand.com, neng.fatbkk@gmail.com",http://www.fatton.com,MS. SUNANTA PAPOTINANG 
73,"FLASH INTERNATIONAL TRANSPORT CO., LTD.",5/15 @Area Building Room 7B2 7th Floor Soi Nonsri 5 (Buphaburi) Nonsi Road Chongnonsi  Yannawa Bangkok 10120 ,662-294-3553 (AUTO) ,"662-294-3501,294-3618 ",flash@flashinter.com,,MR. SOMCHAI SAENGTIPKUL 
74,"FLEET GLOBAL LOGISTICS CO., LTD.","309 SOI LADPRAO 93,  
LADPRAO ROAD, 
KLONG JAOKHUNSING,
WANGTHONGLANG, BANGKOK  10400",662-542-1800 ,662-542-1801 ,services@flego.biz,http://www.flego.biz,MS. LADDA KHUNAMORNLERT 
75,"FLS 1993 (THAILAND) CO., LTD.","53 Moo 9 Talay-Thong Tower, 14th Floor, Suite no.1406 Sukumvit Rd., T. Tungsukla, A. Sriracha Chonburi 20230",6638-494144 ,6638-490558 ,Piyarak@flsasia.com,http://www.flsasia.com,Ms. Piyarak Cooper 
76,"FREIGHT LINER (THAILAND) CO.,LTD.","1338/936 Rama 3 Road, Chong Nonsri, Yannawa, Bangkok 10120 ","02-294-1335-9,02-294-1346 ",02-294-1347-48 ,supak@freightliner.com,http://www.freightliner.co.th,MRS. SUPAK VONGSAPAKARN 
77,"FREIGHT LINKS EXPRESS (THAILAND) CO., LTD.","507/321 SOI SATHU PRADIT 31 (NAKORN THAI SOI 4), SATHU PRADIT RD. , CHONG NONSI, YANNAWA ,  BANGKOK  10120 THAILAND",662 210 2888 ext. 718 ,662 210 2894 ,flebkk@freightlinks.co.th,http://www.fleth.co.th,Claims Department 
78,FREIGHTZEN LOGISTICS LTD.,"23/57 Sorachai Building, 17th floor, 
Soi Sukhumvit 63, Klongton-Nua, 
Wattana, Bangkok 10110, Thailand",662-090-2220 to 6 , ,info@freightzenlogistics.com,http://www.freightzenlogistics.com,MS. ORAWAN WATTHANASEREE 
79,"FS INTER LOGISTICS CO.,LTD.","UM tower, 14th Fl., 9//151 Ramkhamhaeng Rd., Suanluang, Suanluang, Bangkok 10250",662-719-9941 ,662-717-2524 ,saowaluck@fsthai.com,http://www.fsthai.com,Mr.ChinnaphatMs.Saowaluck 
80,"FUJITRANS ( THAILAND ) CO., LTD.","33/49-50 WALL STREET TOWER BUILDING 11th FL., SURAWONGSE RD., SURIYAWONGSE, BANGRAK, BANGKOK  10500.",662-632-7711 ,662-237-6050 ,damrong@fujitrans.co.th,,MR.DAMRONG CHEENKLUN 
81,"FULL WELL FREIGHT (THAILAND) CO.,LTD.","116/71 SSP Tower 2, 19th Floor, Na Ranong Rd., Klongtoey, Klongtoey, Bangkok 10110, Thailand. ",(662) 1195222 , ,ta@fullwellfreight.com,http://fullwellfreight.com,TECHINEE AKKARAGUMTORN 
82,"GATEWAY CONTAINER LINE CO.,LTD.","1000/64-65 TROK WADCHANNAI  RAMA 3 ROAD., BANGKHLO, BANGKHOLAEM, BANGKOK 10120",02-284-3670-83 ,02-284-3694-99 ,pat@gateway.co.th,,MS. PATCHAREEWON OCSIRI 
83,"GC LOGISTICS SOLUTIONS CO.,LTD.","555/1 A Building, Energy Complex 8.Flr Vibhawadi Rangsit Rd., Chatuchak, Bangkok 10900",02-140-3700 ,02-140-3701-2 ,Thadchathorn.S@pttgcgroup.com,http://www.gc-logistics.com,MRS. THADCHATHORN SIRIYONG 
84,GEODIS THAI LTD.,"207 SOI SAENG UTHAI, SUKHUMVIT 50 RD., PRAKANONG, KLONGTOEY, BANGKOK 10260",(662) 736-2700 ,"(662) 741-4080-1, (662) 332-9047 ",banlangrat.kunawong@geodis.com,http://www.geodis.com,MS. BANLANGRAT KUNAWONG 
85,"GLOBAL POWER LOGISTICS SERVICES (THAILAND) CO., LT","90/8, SATHORN TANI BUILDING 1, 6TH FLOOR, NORTH SATHORN RD., SILOM, BANGRAK, BANGKOK 10500","662-238-2773-83 # 203,  ",662-238-2785-87 ,"nui@bkk.global-gp.com, account@globalfrtbkk.com, a",http://www.global-gp.com,MS. WANAPA BOUSUWAN 
86,"GRAND EMPORIUM LOGISTICS CO.,LTD.","15/3 MOO 7, SOI WATSALUD, BANGNA-TRAD ROAD.,BANGKAEW, BANGPLEE, SAMUTPRAKARN 10540","02-316-5583-4, 097-146-6565 ",02-750-2439 ,peerapat.s@gelogs.co.th,http://www.gelogs.co.th,MR. PEERAPAT SRIPRASERT 
87,"GTL (THAILAND) CO., LTD.","281 RATCHADAPISEK SOI 6, RATCHADAPISEK (THAPRA-TAKSIN) RD., BUKKALO, THONBURI BANGKOK 10600",662-460-2044-55 ,662-460-2041-3 ,bkk@gtl-thailand.com,http://www.gtl-thailand.com/,MS. PUSSADEE JIRAKARN 
88,GULF AGENCY COMPANY THAILAND LTD.,"Gulf Agency Company (Thailand) Ltd.
26/30-31 9th Floor, Orakarn Building, Soi Chidlom, Ploenchit Rd., Lumpinee, Pathumwan, Bangkok 10330,
Thailand",+66-2-650-7400 ,+66-2-650-7401 ,logistics.thailand@gac.com,http://www.gac.com,Mr. Mark Delaney 
89,"H.I.T. INTERCON CO.,LTD.","1 Handle Inter Group Building, Bangna-Trad Soi 21 (Yaek 11), Debaratna Road, Bangna Nuea, Bangna, Bangkok 10260",662-393-2300 ( auto lines) ,662-393-7307-10 ,ochist@handleintertrans.com,http://www.handleintertrans.com,ochist@handleintertrans.com 
90,"HANDLE INTER CONSOLIDATION CO.,LTD.","1 Handle Inter Group Building, Bangna-Trad Soi 21 (Yaek 11), Bangna-Trad Road, Bangna, Bangkok 10260",662-393-3400 ( auto lines) ,662-393-9711-14 ,ochist@handleinterconsol.com,http://www.handleinterconsol.com,ochist@handleinterconsol.com 
